,Average_AttendanceTimeSeconds
SpecialServiceType_Hazardous Materials incident,0.005453561078615107
SecondPumpArriving_DeployedFromStation_Stratford,0.005192342696137572
Postcode_district_SE16,0.004974104686195861
SecondPumpArriving_DeployedFromStation_Tottenham,0.004927636090851056
Postcode_full_NW3,0.004899220023833249
IncidentStationGround_Acton,0.004723634593916188
IncGeo_BoroughCode_E09000008,0.0047061417151137465
ProperCase_Croydon,0.0047061417151137465
SpecialServiceType_Animal assistance incidents,0.004693840133503952
PropertyType_Purpose Built Flats/Maisonettes - Up to 3 storeys ,0.004473472087041026
SecondPumpArriving_DeployedFromStation_Wandsworth,0.004341550798964362
IncGeo_WardNameNew_Kilburn,0.004277909149898236
SecondPumpArriving_DeployedFromStation_Hornsey,0.004213376441420214
SecondPumpArriving_DeployedFromStation_Kensington,0.004193286695687219
Postcode_district_IG11,0.004006608539596401
AddressQualifier_Railway land or rolling stock,0.003994260069776053
SecondPumpArriving_DeployedFromStation_Croydon,0.0038387449858638734
Postcode_district_N4,0.0036627456157739702
SpecialServiceType_Other Transport incident,0.003596511339003725
ProperCase_Greenwich,0.003528516514516519
IncGeo_BoroughCode_E09000011,0.003528516514516519
PropertyType_Refuse/rubbish tip ,0.003520101208940002
IncidentStationGround_Walthamstow,0.0032395815841433817
Postcode_district_NW3,0.0029557954910156615
PropertyType_Other,0.002822994609854359
SecondPumpArriving_DeployedFromStation_infrequent_sklearn,0.0027749628800111817
IncGeo_WardCode_E05013665,0.0027612172615876585
SpecialServiceType_Evacuation (no fire),0.002752456303567491
IncGeo_WardCode_E05013808,0.002592539222469204
Postcode_full_E14,0.0025725048308184975
Postcode_district_SE18,0.0021874348507281236
SecondPumpArriving_DeployedFromStation_West Hampstead,0.0021184921346393596
StopCodeDescription_Chimney Fire,0.0019799490835203546
StopCodeDescription_Alleged Fire Risk,0.0019512321271303989
Postcode_full_W12,0.0019360747961192559
PropertyType_Licensed House in Multiple Occupation - Up to 2 storeys ,0.0018085241300259457
Postcode_district_W3,0.0017675684180780526
Postcode_full_W3,0.0017361266627226983
Postcode_district_W12,0.0015672484566513019
SpecialServiceType_Suicide/attempts,0.0015013157592689173
Postcode_full_SE17,0.0014309561610042262
SecondPumpArriving_DeployedFromStation_Islington,0.0013445100283398029
FirstPumpArriving_DeployedFromStation_Walthamstow,0.0010114691737820296
Postcode_full_E17,0.0010001781080851476
SecondPumpArriving_DeployedFromStation_Norbury,0.0009019078988054354
SpecialServiceType_Water provision,0.000869781007409654
SpecialServiceType_No action (not false alarm),0.000860633582744127
IncidentStationGround_Ealing,0.0007760477010824574
Postcode_full_CR0,0.0007311108661337398
FirstPumpArriving_DeployedFromStation_Tottenham,0.0006452931978516219
PropertyType_Retirement/Old Persons Home,0.0005696241921486916
StopCodeDescription_Use of Special Operations Room,0.0004997045336084372
Postcode_district_E17,0.00018032329793159422
SpecialServiceType_Other rescue/release of persons,6.015694972201746e-05
